,LATITUD,LONGITUD,antenna_id
0,6.6092,-55.071799999999996,0
1,5.6092,-63.071799999999996,1
2,20.6092,-58.071799999999996,2
3,10.609200000000001,-70.0718,3
4,15.609200000000001,-45.071799999999996,4
5,21.6092,-65.0718,5
6,6.60003,-55.078199999999995,6
7,30.60003,-57.078199999999995,7
8,18.60003,-59.078199999999995,8
9,6.60003,-62.078199999999995,9
10,7.60003,-47.078199999999995,10
11,32.600030000000004,-48.078199999999995,11
12,26.68183,-65.1197,12
13,10.681830000000001,-44.119699999999995,13
14,29.68183,-53.119699999999995,14
15,21.68183,-48.119699999999995,15
16,26.68183,-71.1197,16
17,14.681830000000001,-71.1197,17
18,28.663980000000002,-73.1241,18
19,14.66398,-51.1241,19
20,7.6639800000000005,-67.1241,20
21,11.66398,-71.1241,21
22,9.66398,-61.1241,22
23,33.66398,-71.1241,23
24,22.63921,-60.136399999999995,24
25,29.63921,-54.136399999999995,25
26,18.63921,-54.136399999999995,26
27,24.63921,-47.136399999999995,27
28,6.63921,-46.136399999999995,28
29,8.63921,-71.1364,29
30,31.6215,-66.0893,30
31,13.621500000000001,-57.089299999999994,31
32,13.621500000000001,-72.0893,32
33,26.6215,-68.0893,33
34,31.6215,-49.089299999999994,34
35,12.621500000000001,-66.0893,35
36,6.6456,-64.0922,36
37,23.6456,-62.092200000000005,37
38,9.6456,-72.0922,38
39,7.6456,-53.092200000000005,39
40,24.6456,-66.0922,40
41,22.6456,-55.092200000000005,41
42,22.6037,-71.0725,42
43,25.6037,-71.0725,43
44,27.6037,-70.0725,44
45,33.6037,-55.072500000000005,45
46,22.6037,-72.0725,46
47,27.6037,-54.072500000000005,47
48,27.70854,-58.138999999999996,48
49,14.70854,-67.139,49
50,26.70854,-73.139,50
51,19.70854,-44.138999999999996,51
52,32.70854,-73.139,52
53,24.70854,-51.138999999999996,53
54,32.5709,-59.09739999999999,54
55,9.5709,-67.0974,55
56,5.5709,-60.09739999999999,56
57,31.5709,-60.09739999999999,57
58,13.5709,-65.0974,58
59,17.5709,-47.09739999999999,59
60,17.64695,-51.14490000000001,60
61,13.64695,-67.1449,61
62,18.64695,-47.14490000000001,62
63,14.64695,-50.14490000000001,63
64,10.64695,-52.14490000000001,64
65,32.646950000000004,-53.14490000000001,65
66,14.598700000000001,-56.1084,66
67,25.5987,-73.1084,67
68,19.5987,-57.1084,68
69,14.598700000000001,-61.1084,69
70,16.5987,-51.1084,70
71,32.5987,-47.1084,71
72,20.607480000000002,-70.0923,72
73,33.60748,-58.092299999999994,73
74,30.607480000000002,-56.092299999999994,74
75,22.607480000000002,-61.092299999999994,75
76,11.60748,-66.0923,76
77,29.607480000000002,-55.092299999999994,77
78,10.63203,-58.119200000000006,78
79,30.63203,-44.119200000000006,79
80,18.63203,-60.119200000000006,80
81,23.63203,-71.1192,81
82,23.63203,-52.119200000000006,82
83,32.63203,-70.1192,83
90,31.69297,-61.1339,84
91,27.69297,-69.1339,85
92,28.59984,-45.181,86
93,14.59984,-51.181,87
94,6.59984,-72.181,88
95,13.59984,-63.181,89
96,20.59984,-61.181,90
97,33.59984,-62.181,91
104,7.6124,-44.1366,92
105,30.6124,-66.1366,93
106,34.6124,-47.1366,94
107,22.6124,-56.1366,95
108,5.6124,-53.1366,96
109,33.6124,-64.1366,97
110,20.61808,-52.12050000000001,98
111,33.61808,-56.12050000000001,99
112,16.61808,-60.12050000000001,100
113,27.61808,-54.12050000000001,101
114,23.61808,-45.12050000000001,102
115,24.61808,-72.1205,103
116,19.6175,-61.0723,104
117,34.6175,-44.0723,105
118,12.6175,-66.0723,106
119,18.6175,-48.0723,107
120,33.6175,-52.0723,108
121,14.6175,-54.0723,109
122,24.6597,-60.104,110
123,26.6597,-73.104,111
124,23.6597,-72.104,112
125,27.6597,-46.104,113
126,14.6597,-66.104,114
127,27.6597,-60.104,115
128,8.626190000000001,-55.1091,116
129,24.62619,-60.1091,117
130,15.626190000000001,-45.1091,118
131,34.62619,-46.1091,119
132,23.62619,-69.1091,120
133,19.62619,-69.1091,121
134,9.695170000000001,-54.1147,122
135,21.69517,-71.1147,123
136,9.695170000000001,-63.1147,124
137,20.69517,-55.1147,125
138,7.69517,-72.1147,126
139,22.69517,-60.1147,127
140,5.6150400000000005,-44.0779,128
141,33.61504,-57.0779,129
142,19.61504,-54.0779,130
143,13.61504,-59.0779,131
144,21.61504,-54.0779,132
151,5.56084,-70.1327,133
152,14.560839999999999,-51.1327,134
153,12.560839999999999,-58.1327,135
154,29.56084,-54.1327,136
155,23.56084,-60.1327,137
156,11.67996,-59.1435,138
157,7.6799599999999995,-55.1435,139
158,18.67996,-52.1435,140
159,8.67996,-71.1435,141
160,27.67996,-65.1435,142
161,33.67996,-73.1435,143
162,16.59771,-73.1616,144
163,20.59771,-59.16160000000001,145
164,20.59771,-67.1616,146
165,14.59771,-56.16160000000001,147
166,16.59771,-48.16160000000001,148
167,9.59771,-58.16160000000001,149
175,14.603439999999999,-62.068299999999994,150
176,25.60344,-59.068299999999994,151
177,29.60344,-48.068299999999994,152
178,8.603439999999999,-57.068299999999994,153
191,18.657989999999998,-49.110600000000005,154
192,23.657989999999998,-62.110600000000005,155
193,6.65799,-51.110600000000005,156
194,21.657989999999998,-44.110600000000005,157
195,13.65799,-56.110600000000005,158
196,20.657989999999998,-69.1106,159
197,15.62275,-50.07470000000001,160
198,29.62275,-51.07470000000001,161
199,15.62275,-72.0747,162
200,15.62275,-58.07470000000001,163
201,27.62275,-58.07470000000001,164
202,8.62275,-73.0747,165
203,7.6314,-56.092200000000005,166
204,27.6314,-64.0922,167
205,23.6314,-46.092200000000005,168
206,8.6314,-59.092200000000005,169
207,26.6314,-54.092200000000005,170
208,25.6314,-44.092200000000005,171
209,31.61495,-64.0696,172
210,14.61495,-68.0696,173
211,28.61495,-61.069599999999994,174
212,34.61495,-65.0696,175
213,6.61495,-68.0696,176
214,18.61495,-57.069599999999994,177
215,34.58827,-69.1358,178
216,25.58827,-71.1358,179
217,19.58827,-65.1358,180
218,16.58827,-65.1358,181
219,24.58827,-50.1358,182
220,11.58827,-68.1358,183
221,11.594100000000001,-47.0774,184
222,32.5941,-67.0774,185
223,22.5941,-56.0774,186
224,34.5941,-50.0774,187
225,9.594100000000001,-70.0774,188
226,26.5941,-64.0774,189
227,9.6003,-61.072199999999995,190
228,20.6003,-73.0722,191
229,27.6003,-58.072199999999995,192
230,13.6003,-46.072199999999995,193
231,24.6003,-47.072199999999995,194
232,11.6003,-65.0722,195
246,10.62369,-71.1542,196
247,11.62369,-73.1542,197
248,12.62369,-59.1542,198
249,16.62369,-55.1542,199
250,30.62369,-44.1542,200
251,6.62369,-49.1542,201
272,27.675069999999998,-63.1015,202
273,7.67507,-58.1015,203
274,7.67507,-58.1015,204
275,23.675069999999998,-50.1015,205
276,23.675069999999998,-72.1015,206
277,19.675069999999998,-49.1015,207
278,6.64427,-64.1139,208
279,10.644269999999999,-63.1139,209
280,10.644269999999999,-44.1139,210
281,22.64427,-56.1139,211
282,9.644269999999999,-73.1139,212
283,30.64427,-63.1139,213
329,9.58789,-71.1047,214
330,14.58789,-60.104699999999994,215
331,32.58789,-73.1047,216
332,33.58789,-63.104699999999994,217
333,14.58789,-49.104699999999994,218
334,28.58789,-52.104699999999994,219
484,18.61132,-73.1768,220
485,5.61132,-69.1768,221
486,19.61132,-47.1768,222
487,34.61132,-49.1768,223
488,27.61132,-63.1768,224
489,13.625530000000001,-50.168499999999995,225
490,28.62553,-52.168499999999995,226
491,34.62553,-56.168499999999995,227
492,10.625530000000001,-65.1685,228
493,6.62553,-57.168499999999995,229
